"Gene","Spearman_rho","Correlation_Pvalue"
"C5AR1",0.545926693952884,4.96544118849595e-05
"CSF1R",0.436659461351706,0.00170801702080196
"LILRB2",0.405283551784752,0.00386668218025163
"PILRA",0.354480364970525,0.0124529344668897
"CLEC7A",0.24488358489301,0.0899120501455716
"SIGLEC1",0.21036877706287,0.146819255819087
"CD300E",0.197609496987925,0.173506902247716
"C3AR1",0.00465880997985959,0.974655519552887
"TLR4",-0.022187129068009,0.879724019503338
"P2RX7",-0.0674211577219593,0.645308801179356
